model,task,n,nodes_mean,nodes_sd,connections_mean,connections_sd,hidden_mean,hidden_sd
IZ-A,classification,132,66.53030303030303,42.64453454576598,151.71212121212122,79.85717501623124,1.0833333333333333,1.026679719688345
IZ-B,classification,132,66.43181818181819,42.9004160519725,170.59848484848484,119.97791526092855,1.0075757575757576,1.0075759749825404
IZ-C,classification,132,66.5530303030303,42.684769329725796,150.24242424242425,78.44063454789655,1.1590909090909092,1.0472030756967752
IZ-D,classification,132,66.9469696969697,42.90897776021419,190.9318181818182,147.48011604528273,1.5,1.188365996003763
IZ-E,classification,132,66.61363636363636,42.647077833593976,150.67424242424244,78.4329826450408,1.2045454545454546,1.1507623517844698
IZ-F,classification,132,66.98484848484848,42.96243430074199,191.46212121212122,148.21360721406458,1.5454545454545454,1.193900761559546
IZ-G,classification,132,67.0530303030303,42.701040335207274,150.6818181818182,78.88210530359211,1.6515151515151516,1.4566763826389664
IZ-H,classification,132,67.18939393939394,43.02229717938964,191.5530303030303,148.03173346578276,1.7878787878787878,1.5285092424579692
IZ-A,rl,33,13.393939393939394,4.561656729874806,26.696969696969695,12.863428898637526,2.212121212121212,1.8999601271733266
IZ-B,rl,33,12.848484848484848,3.817076860318084,24.757575757575758,10.30179081225172,1.7878787878787878,2.5830889424966545
IZ-C,rl,33,14.090909090909092,4.133428029218278,27.272727272727273,11.446267752177805,2.9393939393939394,2.014624560857958
IZ-D,rl,33,15.606060606060606,4.629655723832184,28.242424242424242,11.194391182167697,4.606060606060606,2.6093509003604938
IZ-E,rl,33,13.818181818181818,2.941667739719953,26.242424242424242,9.734058451611737,2.8484848484848486,2.4510356500009864
IZ-F,rl,33,12.818181818181818,3.803407563081966,24.78787878787879,11.271528223131432,1.6666666666666667,1.5745369689742654
IZ-G,rl,33,13.030303030303031,3.9329127921049847,25.87878787878788,10.856327578184462,1.7878787878787878,2.2045064039028066
IZ-H,rl,33,14.242424242424242,2.318813045373416,26.78787878787879,8.586899818027954,3.121212121212121,2.90212826815916
